word,counts
miro,15
morena,15
cambie,15
pedi,15
nosotros,15
we,15
vea,15
gustan,15
toy,15
soledad,15
pudrio,15
moda,15
gustas,15
jeday,15
chris,15
okay,15
oido,15
veces,15
be,15
all,15
pasas,15
olvida,15
p,15
kingz,15
llorar,15
deseo,15
olvide,14
semana,14
llame,14
castigo,14
echa,14
viejo,14
bandolera,14
swing,14
ojala,14
sera,14
fin,14
acabar,14
vacilar,14
existe,14
pense,14
ando,14
aun,14
han,14
comer,14
poder,14
extranio,14
chu,14
enchu,14
seguir,14
cero,14
perro,14
perdido,14
sepa,14
hi,14
llamar,14
secreto,14
vivir,14
frente,14
frio,14
salvaje,14
culpa,14
rumbear,14
besarte,14
anios,14
bobo,14
tipo,14
high,13
fuerte,13
puedes,13
baja,13
clan,13
dejar,13
santa,13
anda,13
pierde,13
adan,13
suelta,13
bellaqueo,13
comida,13
contra,13
justo,13
complico,13
eva,13
mota,13
carajo,13
skrt,13
consigue,13
pasito,13
coge,13
sorry,13
gang,13
suba,13
lento,13
wow,13
seguro,13
perder,13
pega,13
celoso,13
ngilondoloze,13
ama,13
say,13
portarse,13
bicho,13
discoteca,13
dentro,13
tenemos,13
sonando,13
olvidando,13
escucha,13
favorita,13
diabla,13
vienes,12
picky,12
tenga,12
cuello,12
foto,12
manda,12
plan,12
vece,12
verdad,12
estare,12
facil,12
dinero,12
cien,12
dejas,12
venir,12
manual,12
verno,12
whisky,12
relacion,12
llegar,12
numero,12
chin,12
special,12
bajando,12
has,12
perrito,12
tainy,12
lugar,12
tienen,12
despacito,12
eras,12
malo,12
rebotan,12
aeh,12
amas,12
buscaste,12
bellaca,12
can,12
temperatura,12
turizo,12
sido,12
actitud,12
solas,12
enamora,12
peak,12
gusto,12
solos,12
tres,12
yaya,12
tre,12
janguear,12
carita,12
lean,12
don,12
afuera,12
bye,12
ojo,12
dolor,11
hablar,11
bueno,11
pasado,11
polvo,11
suelo,11
camino,11
diablo,11
escuchando,11
lunay,11
tira,11
lentamente,11
cri,11
enamorarme,11
frikitona,11
pri,11
temprano,11
cel,11
cura,11
atencion,11
vueltas,11
llamas,11
said,11
cinturita,11
ultima,11
perderte,11
bellaco,11
bellaquear,11
esperando,11
yay,11
busco,11
buscando,11
suenio,11
video,11
fiesta,11
mujeres,11
queremo,11
corriendo,11
shiuf,11
pose,11
cambio,11
les,11
tamos,11
decias,11
puse,11
raro,11
toma,11
gyal,11
borracho,11
ponga,11
cuanto,11
volvio,11
calentar,11
puesta,11
espero,11
tumba,11
alex,11
entender,11
sech,11
anio,11
murio,11
volvi,11
busca,11
aquella,11
interesante,11
piensas,11
ropa,11
permite,11
terminar,11
quieras,11
quedo,11
je,11
ignora,11
jam,11
shorty,11
quiles,11
lado,11
pasamo,10
kill,10
madrid,10
menea,10
meto,10
sigues,10
young,10
mentir,10
habia,10
yes,10
falle,10
rrr,10
timidez,10
imposible,10
iba,10
bb,10
ae,10
nuestra,10
diosa,10
cualquier,10
salgo,10
carro,10
extrania,10
echale,10
apenas,10
now,10
pared,10
perrearte,10
pegate,10
problemas,10
romeo,10
buscandome,10
romper,10
duele,10
rra,10
cualquiera,10
maluma,10
besito,10
towers,10
records,10
cuento,10
espera,10
favor,10
colores,10
quito,10
pones,10
bon,10
vine,10
for,10
ponen,10
atrevida,10
canse,10
llena,10
explico,10
huele,10
esos,10
muah,10
bebida,10
plo,10
dicky,10
lante,10
definitivamente,10
acercate,10
entere,10
pueda,10
orgullo,10
suerte,10
prende,10
vivo,10
senda,10
muevelo,10
interesa,10
tigo,10
snap,10
bailandome,10
dejate,10
one,10
banio,10
want,10
muere,10
bailo,10
esquina,10
cielo,10
ley,10
eran,10
bloque,10
hagamo,10
vuelto,10
busque,10
paulo,10
bellacona,10
demas,10
dijo,10
chi,10
decirle,10
with,10
desespero,9
dy,9
rubia,9
sentimiento,9
vos,9
envicia,9
llegan,9
tipa,9
peor,9
matame,9
bellaquita,9
demoras,9
reina,9
decirlo,9
muchas,9
nueva,9
dijeron,9
tanta,9
placer,9
entregarte,9
podia,9
quema,9
rica,9
cine,9
encuentro,9
mm,9
n,9
lejo,9
grito,9
puerto,9
controlar,9
sienta,9
baje,9
yesca,9
telefono,9
comerno,9
color,9
pacto,9
tequila,9
londra,9
cree,9
explota,9
toco,9
venga,9
marea,9
cinco,9
calla,9
venia,9
saliste,9
maldicion,9
enloquecer,9
olvidamo,9
comiendote,9
trueno,9
quisiste,9
medellin,9
fallo,9
callaita,9
peligrosa,9
trato,9
downtown,9
sed,9
olas,9
mierda,9
industria,9
culito,9
bc,9
viendo,9
natti,9
vente,9
zon,9
tarde,9
enseniame,9
mover,9
maquina,9
levante,9
rom,9
serio,9
cabe,9
intentando,9
ciudad,9
volando,9
farru,9
die,8
dandole,8
uy,8
toa,8
cai,8
verda,8
cansa,8
morir,8
tortura,8
manera,8
fantasia,8
hah,8
her,8
moviendote,8
comienza,8
arriba,8
distancia,8
quedaste,8
asesina,8
pusiste,8
soniando,8
linda,8
empiezas,8
hija,8
vive,8
enrola,8
latino,8
diablita,8
aire,8
manuel,8
modo,8
lana,8
lacio,8
rebelo,8
myke,8
rich,8
pares,8
